,in,in,in,m,m,in,in,in,1,Â°C,1
,2009,2020,2028,2014,2021,2022,2023,2024,2025,2026,2027
ICI Thru-0312-0400 (3),3 1/2,4 1/8,4.000,3.90,1.30,3.67,0.2500,16,3,245,0.089
ICI Thru-0412-0575 (3),4 1/2,5 7/8,5.750,9.00,3.00,4.71,0.6250,16,3,246,0.089
ICI Thru-0500-0578 (3),5    ,5 7/8,5.750,9.00,3.00,5.24,0.3750,16,3,247,0.089
ICI Thru-0500-0558 (3),5    ,5 5/8,5.500,9.00,3.00,5.24,0.2500,16,3,247,0.089
ICI Thru-0512-0578 (3),5    ,6    ,5.875,9.00,3.00,5.24,0.4375,16,3,247,0.089
ICI Thru-0700-0838 (3),7    ,8 1/2,8.375,8.50,2.83,7.33,0.6875,16,3,250,0.089
ICI Thru-0700-0834 (3),7    ,8 3/4,8.625,8.50,2.83,7.33,0.8125,16,3,251,0.089
ICI Thru-0758-0812 (3),7 5/8,8 1/2,8.375,8.20,2.73,7.98,0.3750,16,3,252,0.089
ICI Thru-0758-0834 (3),7 5/8,8 3/4,8.625,8.20,2.73,7.98,0.5000,16,3,253,0.089
ICI Thru-0734-0812 (3),7 3/4,8 1/2,8.375,8.50,2.83,8.12,0.3125,16,3,254,0.089
ICI Thru-0734-0834 (3),7 3/4,8 3/4,8.625,8.50,2.83,8.12,0.4375,16,3,255,0.089
ICI Thru-0958-1218 (3),9 5/8,12 1/4,12.125,7.95,2.65,10.08,1.2500,16,3,256,0.089
ICI Thru-0958-1012 (3),9 5/8,10 5/8,10.500,7.95,2.65,10.08,0.4375,16,3,257,0.089
ICI Thru-0978-1218 (3),9 7/8,12 1/4,12.125,7.90,2.63,10.34,1.1250,16,3,258,0.089
ICI Thru-0958-1012 (3),9 7/8,10 5/8,10.500,7.90,2.63,10.34,0.3125,16,3,259,0.089
ICI Thru-1018-1214 (3),10 1/8,12 1/4,12.125,5.50,1.83,10.60,1.0000,16,3,260,0.089
ICI Thru-1018-1012 (3),10 1/8,10 5/8,10.500,5.50,1.83,10.60,0.1875,16,3,261,0.089
ICI Thru-1178-1218 (3),11 7/8,12 1/4,12.125,5.50,1.83,12.44,0.1250,16,3,262,0.089
ICI Thru-1338-1738 (3),13 3/8,17 1/2,17.375,8.80,2.93,14.01,2.0000,16,3,263,0.089
ICI Thru-1338-1500 (3),13 3/8,17 1/2,15.000,8.80,2.93,14.01,0.8125,16,3,264,0.089
ICI Thru-1358-1738 (3),13 5/8,17 1/2,17.375,8.80,2.93,14.27,1.8750,16,3,265,0.089
ICI Thru-1358-1500 (3),13 5/8,17 1/2,15.000,8.80,2.93,14.27,0.6875,16,3,266,0.089
ICI Thru-1400-1738 (3),14    ,17 1/2,17.375,5.90,1.97,14.66,1.6875,16,3,267,0.089
ICI Thru-1600-1838 (3),16    ,18 1/2,18.375,7.20,2.40,16.76,1.1875,16,3,268,0.089
ICI Thru-2000-2400 (3),20    ,26    ,24.000,5.20,1.73,20.94,2.0000,16,3,269,0.089
ICI Thru-2000-2200 (3),20    ,26    ,22.000,5.20,1.73,20.94,1.0000,16,3,270,0.089
ICI Thru-2600-2800 (3),26    ,30    ,28.000,5.26,1.75,27.23,1.0000,16,3,271,0.089
ICI Thru-0312-0400 (4),3 1/2,4 1/8,4.000,3.90,0.98,3.67,0.2500,16,4,245,0.089
ICI Thru-0412-0575 (4),4 1/2,5 7/8,5.750,9.00,2.25,4.71,0.6250,16,4,246,0.089
ICI Thru-0500-0578 (4),5    ,5 7/8,5.750,9.00,2.25,5.24,0.3750,16,4,247,0.089
ICI Thru-0500-0558 (4),5    ,5 5/8,5.500,9.00,2.25,5.24,0.2500,16,4,247,0.089
ICI Thru-0512-0578 (4),5    ,6    ,5.875,9.00,2.25,5.24,0.4375,16,4,247,0.089
ICI Thru-0700-0838 (4),7    ,8 1/2,8.375,8.50,2.13,7.33,0.6875,16,4,250,0.089
ICI Thru-0700-0834  (4),7    ,8 3/4,8.625,8.50,2.13,7.33,0.8125,16,4,251,0.089
ICI Thru-0758-0812 (4),7 5/8,8 1/2,8.375,8.20,2.05,7.98,0.3750,16,4,252,0.089
ICI Thru-0758-0834 (4),7 5/8,8 3/4,8.625,8.20,2.05,7.98,0.5000,16,4,253,0.089
ICI Thru-0734-0812 (4),7 3/4,8 1/2,8.375,8.50,2.13,8.12,0.3125,16,4,254,0.089
ICI Thru-0734-0834 (4),7 3/4,8 3/4,8.625,8.50,2.13,8.12,0.4375,16,4,255,0.089
ICI Thru-0958-1218 (4),9 5/8,12 1/4,12.125,7.95,1.99,10.08,1.2500,16,4,256,0.089
ICI Thru-0958-1012 (4),9 5/8,10 5/8,10.500,7.95,1.99,10.08,0.4375,16,4,257,0.089
ICI Thru-0978-1218 (4),9 7/8,12 1/4,12.125,7.90,1.98,10.34,1.1250,16,4,258,0.089
ICI Thru-0958-1012 (4),9 7/8,10 5/8,10.500,7.90,1.98,10.34,0.3125,16,4,259,0.089
ICI Thru-1018-1214 (4),10 1/8,12 1/4,12.125,5.50,1.38,10.60,1.0000,16,4,260,0.089
ICI Thru-1018-1012 (4),10 1/8,10 5/8,10.500,5.50,1.38,10.60,0.1875,16,4,261,0.089
ICI Thru-1178-1218 (4),11 7/8,12 1/4,12.125,5.50,1.38,12.44,0.1250,16,4,262,0.089
ICI Thru-1338-1738 (4),13 3/8,17 1/2,17.375,8.80,2.20,14.01,2.0000,16,4,263,0.089
ICI Thru-1338-1500 (4),13 3/8,17 1/2,15.000,8.80,2.20,14.01,0.8125,16,4,264,0.089
ICI Thru-1358-1738 (4),13 5/8,17 1/2,17.375,8.80,2.20,14.27,1.8750,16,4,265,0.089
ICI Thru-1358-1500 (4),13 5/8,17 1/2,15.000,8.80,2.20,14.27,0.6875,16,4,266,0.089
ICI Thru-1400-1738 (4),14    ,17 1/2,17.375,5.90,1.48,14.66,1.6875,16,4,267,0.089
ICI Thru-1600-1838 (4),16    ,18 1/2,18.375,7.20,1.80,16.76,1.1875,16,4,268,0.089
ICI Thru-2000-2400 (4),20    ,26    ,24.000,5.20,1.30,20.94,2.0000,16,4,269,0.089
ICI Thru-2000-2200 (4),20    ,26    ,22.000,5.20,1.30,20.94,1.0000,16,4,270,0.089
ICI Thru-2600-2800 (4),26    ,30    ,28.000,5.26,1.32,27.23,1.0000,16,4,271,0.089,10.26
